name	path	filter	prompt	titel	autor	projektuebersicht
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_076.jpg	Objekte	An extremely large bionic, futuristic, circular Spaceship floating in space, translucent plastic casing, filled with millions of plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2	Spaceship	Lukas Rössler,Benjamin Tamm	roessler
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_096.jpg	Objekte	A monumentally huge spaceship, floating in space, translucent plastic casing and cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Spaceship	Lukas Rössler, Benjamin Tamm	roessler
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_099_00.jpg	Objekte	A monumental spaceship, in translucent plastic casing and cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Hibernaculum	Lukas Rössler, Benjamin Tamm	roessler				
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_099_01.jpg	Objekte	hibernaculum, sci-fi, translucent plastic casing, complete view of a levitating all knowing, supercomputer-cyborg, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, data structure, musculus, human skin, cables, technology, A24, Arri Alexa, Helios 44-2	Hibernaculum 2	Lukas Rössler, Benjamin Tamm	roessler		
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_099_02.jpg	Objekte	hibernaculum, sci-fi, translucent plastic casing, complete view of a levitating all knowing, supercomputer-cyborg, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, data structure, musculus, human skin, cables, technology, A24, Arri Alexa, Helios 44-2	Hibernaculum 3	Lukas Rössler, Benjamin Tamm	roessler		
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_099_04.jpg	Objekte	hibernaculum, sci-fi, translucent plastic casing, complete view of a levitating all knowing, supercomputer-cyborg, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, data structure, musculus, human skin, cables, technology, A24, Arri Alexa, Helios 44-2	Hibernaculum 4	Lukas Rössler, Benjamin Tamm	roessler	
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_113_00.jpg	Objekte	endless server-farm, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2	Server Farm	Lukas Rössler, Benjamin Tamm	roessler
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_113_01.jpg	Objekte	an ultra wide shot of an endless red server room, filled with translucent plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, real face, human skin, A24, Arri Alexa, Helios 44-2	Server Farm 2	Lukas Rössler, Benjamin Tamm	roessler
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_113_02.jpg	Objekte	a levitating monolith, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Super-Computer 3	Lukas Rössler, Benjamin Tamm	roessler
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_113_03.jpg	Objekte	endless server-farm, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2	Super-Computer 4	Lukas Rössler, Benjamin Tamm	roessler
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_113_04.jpg	Objekte	a never ending red server-farm, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, real face, human skin, A24, Arri Alexa, Helios 44-2	Super-Computer 5	Lukas Rössler, Benjamin Tamm	roessler
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_078_00.jpg	Charaktere	human-cyborg space suit, translucent plastic casing, cables resembling muscle anatomy, fiber, blood-vessels, open body, cables, technology, musculus, A24, Arri Alexa, Helios 44-2	Protagonist in Spacesuit	Lukas Rössler, Benjamin Tamm	roessler
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_081_01.jpg	Charaktere	human-cyborg space suit, translucent plastic casing, cables resembling muscle anatomy, fiber, blood-vessels, open body, cables, technology, musculus, A24, Arri Alexa, Helios 44-2	Protagonist in Spacesuit 2	Lukas Rössler, Benjamin Tamm	roessler
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_081_03.jpg	Charaktere	an all knowing, human supercomputer-cyborg, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2	All knowing Supercomputer	Lukas Rössler, Benjamin Tamm	roessler
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_083_00.jpg	Charaktere	complete view of a levitating all knowing, human supercomputer-cyborg, human face, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2, whole body	All knowing Supercomputer	Lukas Rössler, Benjamin Tamm	roessler
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_083_02.jpg	Charaktere	complete view of a levitating all knowing, human supercomputer-cyborg, human face, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2, whole body	All knowing Supercomputer	Lukas Rössler, Benjamin Tamm	roessler
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_083_01.jpg	Charaktere	an all knowing, human supercomputer-cyborg, translucent plastic casings, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, human skin, A24, Arri Alexa, Helios 44-2	All knowing Supercomputer	Lukas Rössler, Benjamin Tamm	roessler
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_00.jpg	Charaktere	A cyborg fetus, in translucent plastic bubble, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_01.jpg	Charaktere	A cyborg fetus, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_03.jpg	Charaktere	A cyborg fetus, in translucent plastic casing, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler

